holdings,shares
CDK,3430812
CDW,4032241
CECE,958703
CDR,285487
CVM,1005941
CE,3297852
CELC,196653
CLDX,1108985
CLRB,1203237
CLSN,924729
CELH,809154
CNC,16350223
CDEV,5069093
CNP,15375549
CSR,378666
CENTA,938977
CENT,417235
CPF,776403
CVCY,384175
LEU,318791
CENX,1379357
CNBKA,73090
CNTY,853580
CCS,838366
CERC,1122035
CRNC,1056431
CERE,1063100
CDAY,3753878
CERN,8646091
CERT,862096
CERS,4714434
CEVA,584754
CFBK,69650
CF,6026933
CHRW,3834698
CSBR,352145
CHX,5607710
CHNG,6353905
ECOM,742404
CHRA,288382
CTHR,609632
CRL,1401701
SCHW,43077573
GTLS,1016397
CHTR,3946787
CCF,196611
CLDT,1241476
CMPI,89711
CKPT,1447580
CAKE,1155775
CHEF,903581
CHGG,3730167
CEMI,546834
CHE,447752
CCXI,1464645
CC,4643465
CHMG,106530
LNG,6413028
CHMI,509709
CPK,450537
CVX,54291682
CHWY,2007757
CHMA,1877710
CVR,11238
CSSE,157648
CHS,3179272
PLCE,395716
CIM,6666231
CMRX,1876209
KDNY,541511
CMG,789121
CHH,1012460
COFS,192309
CDXC,1842661
CB,10819558
CHD,6993291
CHDN,999419
CHUY,568765
CDTX,1335562
CIEN,4362859
CI,10185954
CMCT,274863
XEC,2890113
CMPR,436507
CBB,1332655
CINF,4316320
CIDM,1688449
CNK,2847061
CTAS,2508230
CIR,556220
CRUS,1634158
CSCO,107250416
CIT,2785600
CTRN,263342
C,58742722
CTXR,550720
CZNC,369292
CZWI,260400
CFG,12093387
CIA,1656686
CTXS,3474813
CHCO,448767
CIO,1122457
CIVB,430004
CLAR,552740
CLNE,3633228
CLH,1396186
CLSK,577643
CCO,9778754
CLFD,396841
CLRO,231050
CLPT,427726
CLSD,1071059
CLIR,569117
CLW,442071
CWEN.A,1148389
CWEN,2088401
CLF,12637539
CLPR,530106
CLX,3560361
CLDR,6114336
NET,5607941
CLVS,2439594
CCMP,818200
CME,10123433
CMS,8079202
CCNE,422728
CNO,3877489
CNX,5058366
CODX,800052
CCB,203750
KO,109110618
COKE,135855
COCP,1201742
CODA,183468
CDXS,1702346
CDAK,262845
CVLY,287534
CDE,6209070
JVA,230234
COGT,668642
CCOI,1197911
CGNX,4668869
CTSH,15072382
CWBR,496293
COHN,3400
CNS,654995
COHR,684978
CHRS,1899439
COHU,1103885
CFX,2848710
CL,24164255
COLL,899483
CBAN,105757
CLNY,13607393
CLNC,2259270
COLB,1996907
CLBK,1517281
CXP,3198735
COLM,902541
CMCO,620696
CMCSA,128754757
CMA,3949514
FIX,963434
CBSH,2963473
CMC,3359084
CVGI,1006626
COMM,5607153
JCS,305247
CBU,1487328
ESXB,586264
TCFC,155124
CYH,3234165
CHCT,599332
CTBI,418050
CVLT,1243223
CMP,951969
CPSI,319626
CTG,625512
CIX,12502
SCOR,1734641
LODE,286778
CMTL,627735
CAG,13093148
CNXC,1164902
CNCE,796804
BBCP,865335
CDOR,211609
CNDT,4656075
CFMS,4451578
CNMD,806108
CONN,442136
CNOB,907965
COP,38225489
CEIX,409705
CNSL,2000463
ED,8250950
STZ,4546375
CNST,809284
ROAD,805940
CPSS,444873
TCS,783316
MCF,2900072
WISH,101538
CLR,1519341
CFRX,810781
COO,1502746
CTB,1401934
CPS,465636
CPRT,5993152
CRBP,2244388
CORT,2943014
CLB,1228369
CMT,263220
CORE,1248604
CXW,3316162
CLGX,2087768
CORR,299603
CPLG,1484014
COR,1207155
CRMD,842975
CNR,1779508
CSOD,1713795
GLW,21547613
OFC,3158351
CRSR,648241
CTVA,21101012
CRTX,380455
CLDB,48247
CRVL,258773
CRVS,724661
CSGP,1111721
COST,12442810
COTY,8649488
ICBK,90149
COUP,1942696
CUZ,4206803
CVA,3357943
CVLG,311191
CVET,2683664
COWN,675034
CVU,436504
CPSH,336065
CRAI,232922
CBRL,665872
CR,1395362
CRD.A,367062
CRD.B,708040
CREX,66218
CACC,273765
CREE,3113743
CXDO,456220
CRNX,653460
CROX,1806357
CCRN,1065375
CFB,1300208
CRWD,4940423
CCI,12166416
CRWS,139664
CRKN,11036
CCK,3800303
CRY,1024651
CYRX,1166858
CSGS,850459
CSPI,129730
CSWI,421214
CSX,21579120
CTIC,2095658
CTO,177658
CTS,838710
CUBE,5461467
CUB,883433
CUE,730247
CFR,1602355
CGEM,45038
CULP,364281
CPIX,280820
CMI,4177605
CMLS,469052
CURI,593700
CRIS,2266214
CURO,473829
CW,1164881
CWK,3102597
CUBI,799394
CUTR,526701
CVBF,3572285
CVV,165351
CVI,853293
CVS,36904410
CYBE,280573
CYCN,1064673
CBAY,2171353
CTEK,158445
CONE,3389187
CYTK,1894268
CTMX,1757626
CTSO,1410971
DJCO,25515
DAKT,1534877
DAN,4095400
DHR,18024645
DRI,3673423
DARE,2130510
DAR,4568964
DSKE,1350848
DAIO,180694
DDOG,4987365
MSP,666474
PLAY,1211855
DVA,2054976
DWSN,395903
DXR,47328
DBTX,35076
DCPH,1117972
DECK,791916
DE,7954881
TACO,812803
DCTH,141500
DK,2068252
DELL,6982427
DAL,18028469
DLA,213870
DLX,1186028
DNLI,2542649
DEN,30439
DENN,1680858
XRAY,6165117
DMTK,504209
DBI,1757650
DVN,16148896
DXCM,2708304
DHX,1602569
DMAC,587666
DHIL,97528
FANG,4440538
DRH,5626627
DRNA,1792156
DKS,1675515
DBD,2097065
DGII,784303
DMRC,408812
DGLY,658350
DLR,7904707
APPS,2250670
DDS,131099
DCOM,929255
DIN,441276
DIOD,1374717
DFS,8647731
DISCA,4580141
DISCK,8351386
DISH,6901890
DHC,6551417
DLHC,186912
BOOM,424840
DOCU,4961690
DLB,1794564
DG,7026739
DLTR,6636622
DLPN,92846
D,23012659
DPZ,1111616
DOMO,692803
UFS,1550172
DCI,3543069
DGICA,771819
DFIN,865000
DASH,806879
DORM,768404
PLOW,647757
DEI,4724265
DOV,4064079
DOW,20904308
DHI,9785468
DKNG,7735907
DFH,261592
DRQ,1006334
DS,2240520
DRVN,938440
DBX,8485205
DSPG,1099906
DTE,5417030
DCT,914237
DCO,316915
DUK,20743674
DRE,10476483
DLTH,431308
DNB,3164432
DD,15146901
DRRX,6231079
DXC,7188599
DXPE,459085
DYAI,818245
DY,853901
DT,5173281
DVAX,2694560
DYN,508024
DX,692139
DZSI,468698
EGBN,835469
EBMT,161868
EGLE,259945
EXP,1177019
EGRX,320288
EAR,260152
ESTE,469178
EWBC,3980573
DEA,2208842
EBC,5236948
EML,216590
EGP,1107238
EMN,3815614
KODK,1741922
EAST,144325
ETN,11245037
EV,3088909
EBAY,18462381
EBIX,731128
ECHO,699984
SATS,1308671
ECL,7242866
EPC,1516236
EIX,10668512
EDIT,1870361
EDUC,282588
EW,17567873
EGAN,788428
EHTH,690106
EIGR,882674
EKSO,173279
LOCO,544963
ELAN,13322256
ESTC,1710777
ECOR,1075176
ELMD,185664
EA,8178455
ELDN,135587
ESI,5909804
ELVT,1078391
ELF,1273707
LLY,24274915
EFC,1193616
EARN,303586
ESBK,52075
ELOX,607180
EMAN,1780985
EMCF,21425
EME,1539990
EMKR,1027225
EEX,836247
EBS,1344438
EMR,16865556
ESRT,4806078
EIG,815294
ENTA,504654
EHC,2801009
ECPG,890369
WIRE,552178
ENDP,6524542
ENR,1844729
WATT,1199291
UUUU,3354916
ERII,1358723
EPAC,1688186
ENS,1192808
ENG,347632
