tickers,shares,,,,,
ACGL,157870,,,,,
ADM,215903,,,,,
9990,111000,,,,,
AROC,41684,,,,,
9842,22100,,,,,
3085,4800,,,,,
ARNC,35119,,,,,
ACA,18000,,,,,
9948,12200,,,,,
3264,181903,,,,,
ARNA,21494,,,,,
ARF,120939,,,,,
ARES,36480,,,,,
ARZZ3,38200,,,,,
1AE,20252,,,,,
7595,6300,,,,,
ARGO,12034,,,,,
ARG,312026,,,,,
2815,6300,,,,,
ANET,23038,,,,,
ALL,253438,,,,,
ARJO B,86418,,,,,
AKE,24935,,,,,
ARR,22788,,,,,
AWI,17456,,,,,
MN,55412,,,,,
AT1,463503,,,,,
4150,34439,,,,,
ARW,28774,,,,,
ARWR,40556,,,,,
4423,17500,,,,,
AJG,72879,,,,,
AX.UN,43300,,,,,
APAM,20476,,,,,
7823,7000,,,,,
7198,13656,,,,,
ARV,186777,,,,,
ARVN,13551,,,,,
ARYN,305283,,,,,
7476,4500,,,,,
3333,3800,,,,,
6140,12600,,,,,
2502,164552,,,,,
5857,25800,,,,,
7747,71000,,,,,
3407,495500,,,,,
4216,4400,,,,,
AHY,172834,,,,,
ABG,6948,,,,,
CY6U,349600,,,,,
A17U,1279313,,,,,
6855,41100,,,,,
ASCL,140989,,,,,
1672,167000,,,,,
ASCN,16022,,,,,
HMN,620886,,,,,
3711,1326636,,,,,
4080,28158,,,,,
ASELS,298070,,,,,
ASGN,18470,,,,,
ASH,23302,,,,,
ASHM,172551,,,,,
ASHOKLEY,489785,,,,,
AHT,176480,,,,,
ASHG,7862,,,,,
743,142500,,,,,
1102,816264,,,,,
3019,80000,,,,,
3682,507508,,,,,
1308,128977,,,,,
3017,145000,,,,,
1675,124800,,,,,
ASIANPAINT,163438,,,,,
S7OU,497000,,,,,
Foreign,921500,,,,,
020560,13793,,,,,
7936,64100,,,,,
4886,7400,,,,,
2678,6800,,,,,
ASM,19644,,,,,
522,113922,,,,,
5269,14000,,,,,
ASML,154340,,,,,
5274,12000,,,,,
APN,140783,,,,,
AZPN,25267,,,,,
ASRNL,57064,,,,,
ASSA B,359131,,,,,
ACP,19701,,,,,
AWC-F,3135100,,,,,
G,484621,,,,,
ASB,70617,,,,,
ABF,137085,,,,,
AGR,948398,,,,,
AIZ,23875,,,,,
AGO,29511,,,,,
ASTE,8192,,,,,
4503,735000,,,,,
AT,21929,,,,,
AML,23872,,,,,
AALI,170855,,,,,
1212,13957,,,,,
ASII,8309730,,,,,
ARL,15486,,,,,
,,,,,,
ASTRAL,24396,,,,,
ASTRAZEN,2814,,,,,
AZN,510201,,,,,
ASTRO,557587,,,,,
2357,287169,,,,,
ASX,75290,,,,,
,,,,,,
002821,4500,,,,,
ATS,9422,,,,,
T,2764875,,,,,
CRFB3,150471,,,,,
ATRA,26691,,,,,
ACO.X,27191,,,,,
ATEA,32090,,,,,
3662,3400,,,,,
6277,116000,,,,,
ATH,42477,,,,,
EYDAP,17663,,,,,
ATL,196545,,,,,
AUB,33818,,,,,
AY,20741,,,,,
ALX,350913,,,,,
ATCO A,232184,,,,,
ATCO B,160158,,,,,
ATCO,29169,,,,,
TEAM,51062,,,,,
ATO,48336,,,,,
ATNI,4035,,,,,
7412,23949,,,,,
ATO,37287,,,,,
AOF,1528,,,,,
6194,5000,,,,,
A3M,33387,,,,,
ATRC,16259,,,,,
ATRLJ B,18027,,,,,
ATA,27635,,,,,
ATT,287506,,,,,
ATT,38500,,,,,
ATUL,5766,,,,,
AUOTY,191821,,,,,
2409,1326000,,,,,
