tickers,shares,,,,,
002444,26200,,,,,
000818,23800,,,,,
002244,126500,,,,,
300078,53600,,,,,
300768,11600,,,,,
603806,13640,,,,,
002430,15100,,,,,
002508,30600,,,,,
300113,25800,,,,,
600460,46900,,,,,
200771,87657,,,,,
300347,18650,,,,,
3347,47500,,,,,
300720,830,,,,,
003300,2130,,,,,
HMSP,2999700,,,,,
180640,11363,,,,,
002320,4503,,,,,
002960,484,,,,,
000240,10472,,,,,
161390,28708,,,,,
9042,84500,,,,,
8977,250,,,,,
128940,2713,,,,,
008930,5402,,,,,
042700,8606,,,,,
HASI,27293,,,,,
HNR1,23198,,,,,
5469,89059,,,,,
6116,775265,,,,,
3049,200133,,,,,
018880,59869,,,,,
THG,14611,,,,,
HNSA,15806,,,,,
105630,7440,,,,,
HSN,45591,,,,,
3692,380000,,,,,
014680,3157,,,,,
004150,15649,,,,,
213500,7240,,,,,
004710,12925,,,,,
009240,3709,,,,,
8078,13200,,,,,
012450,11996,,,,,
009830,39566,,,,,
00088K,10942,,,,,
000880,13523,,,,,
000370,26925,,,,,
003530,28944,,,,,
088350,106085,,,,,
272210,13425,,,,,
600378,19700,,,,,
HAPSENG,225100,,,,,
7552,4500,,,,,
HAPV3,401275,,,,,
1133,246000,,,,,
HARL,36575,,,,,
HL.,148883,,,,,
003380,8995,,,,,
HOG,57312,,,,,
HAR,195651,,,,,
HSC,27200,,,,,
HARTA,603200,,,,,
HIG,138867,,,,,
HVN,211657,,,,,
HAS,50731,,,,,
1808,94500,,,,,
HAVELLS,90040,,,,,
H02,51000,,,,,
HE,40727,,,,,
HAS,584956,,,,,
1719,63800,,,,,
FUL,19287,,,,,
HCA,103202,,,,,
HCLTECH,424341,,,,,
012630,13059,,,,,
294870,17841,,,,,
HDFCAMC,22429,,,,,
HDFCLIFE,261700,,,,,
HLS,218206,,,,,
1112,48236,,,,,
HR,49642,,,,,
HCSG,27114,,,,,
HTA,89338,,,,,
HQY,30679,,,,,
PEAK,214890,,,,,
HTLD,24180,,,,,
HTLF,12244,,,,,
HGH,168409,,,,,
000848,27440,,,,,
1727,160500,,,,,
600559,22300,,,,,
HL,187548,,,,,
002690,20200,,,,,
HEG,4603,,,,,
HEI.A,27543,,,,,
HEI,22192,,,,,
HEI,59772,,,,,
600598,55600,,,,,
HEIO,42644,,,,,
HEIM,49800,,,,,
HEIA,92131,,,,,
6412,18200,,,,,
8803,11200,,,,,
8966,348,,,,,
8276,9600,,,,,
HEKTS,39389,,,,,
HELE,9237,,,,,
HLCL,30240,,,,,
HELI,131268,,,,,
HLIO,14943,,,,,
084990,10861,,,,,
HLE,16880,,,,,
EXAE,78418,,,,,
ELPE,47515,,,,,
HLTOY,117615,,,,,
HTO,25310,,,,,
HFG,59359,,,,,
HP,36761,,,,,
HELN,13136,,,,,
000933,47400,,,,,
000895,78478,,,,,
600531,27900,,,,,
600020,130439,,,,,
12,472896,,,,,
1044,300230,,,,,
002104,155000,,,,,
002056,48800,,,,,
600346,77500,,,,,
136,885200,,,,,
600487,65300,,,,,
000703,58000,,,,,
HEN3,72571,,,,,
HEN,35324,,,,,
HM B,342964,,,,,
HSIC,58546,,,,,
HAG,11126,,,,,
HER,248611,,,,,
HLF,32733,,,,,
HRI,8561,,,,,
6002,7093,,,,,
MLHR,21030,,,,,
RMS,11876,,,,,
HEROMOTOCO,46323,,,,,
HRTX,30044,,,,,
4382,3700,,,,,
HSY,56587,,,,,
HES,107991,,,,,
000709,263800,,,,,
HPE,529621,,,,,
HEXA B,103535,,,,,
HEX,43276,,,,,
HXL,30950,,,,,
603556,39100,,,,,
HPOL B,120312,,,,,
818,792000,,,,,
7279,9400,,,,,
HIAG,865,,,,,
HBRN,228817,,,,,
1982,5100,,,,,
7611,9236,,,,,
HBSA3,151300,,,,,
2542,373394,,,,,
HIW,45106,,,,,
9435,8300,,,,,
HIK,68496,,,,,
HLAN,4211,,,,,
HILS,45735,,,,,
HRC,27470,,,,,
HI,26076,,,,,
HTH,26607,,,,,
HFG,21891,,,,,
HGV,39851,,,,,
HLT,107323,,,,,
HINDALCO,484153,,,,,
HAL,12570,,,,,
HCC,283967,,,,,
HINDPETRO,281505,,,,,
HINDUNILVR,345892,,,,,
HINDZINC,90431,,,,,
7205,98400,,,,,
6866,3800,,,,,
6258,2680,,,,,
7337,107900,,,,,
6806,13721,,,,,
9603,11200,,,,,
6247,12900,,,,,
4530,27700,,,,,
HSX,127253,,,,,
000921,44200,,,,,
921,141000,,,,,
8586,14500,,,,,
6305,38500,,,,,
6501,359352,,,,,
5486,73600,,,,,
9086,11400,,,,,
7004,55000,,,,,
000080,12118,,,,,
300033,13353,,,,,
4433,4700,,,,,
2049,102712,,,,,
1310,291689,,,,,
028300,31828,,,,,
067630,30224,,,,,
HMSY,31677,,,,,
HNI,14216,,,,,
1714,251141,,,,,
6745,5000,,,,,
HOC,100415,,,,,
HOT,7437,,,,,
4112,2100,,,,,
3593,7000,,,,,
9509,54800,,,,,
9534,3700,,,,,
5902,12600,,,,,
8363,9600,,,,,
3865,38700,,,,,
8377,42600,,,,,
9505,60500,,,,,
1379,7400,,,,,
ADMIE,39351,,,,,
002217,160300,,,,,
HFC,60202,,,,,
HOLI,23767,,,,,
HOLM B,35370,,,,,
HOLX,101567,,,,,
6202,60000,,,,,
3026,44200,,,,,
HOMB,60209,,,,,
HCG,20552,,,,,
HD,416334,,,,,
HMPRO-F,2077498,,,,,
064240,8376,,,,,
HSV,112181,,,,,
2317,4679520,,,,,
7267,663641,,,,,
2792,29760,,,,,
HONAUT,836,,,,,
HON,271137,,,,,
3,3859967,,,,,
388,493024,,,,,
1137,196000,,,,,
HLBANK,252100,,,,,
HLFG,95942,,,,,
2536,140000,,,,,
600885,18500,,,,,
H78,450700,,,,,
601236,33000,,,,,
3284,13500,,,,,
HOPE,40854,,,,,
1765,1140000,,,,,
754,220000,,,,,
HMN,14746,,,,,
6856,13200,,,,,
HZNP,77920,,,,,
HRL,107473,,,,,
HBM,3774,,,,,
HBH,2609,,,,,
603260,10800,,,,,
3287,49,,,,,
6465,19582,,,,,
6804,23100,,,,,
HCI,19068,,,,,
6277,2600,,,,,
HST,284156,,,,,
TWNK,54258,,,,,
1536,72940,,,,,
6592,57000,,,,,
2207,119000,,,,,
HPI,74201,,,,,
008770,12372,,,,,
HLI,18594,,,,,
2810,26400,,,,,
HDFC,674937,,,,,
HHC,14638,,,,,
HWDN,227833,,,,,
HWM,167321,,,,,
7741,141251,,,,,
HPQ,510946,,,,,
006060,14294,,,,,
HSBA,7903489,,,,,
2031,78000,,,,,
2498,445491,,,,,
6279,23575,,,,,
,,,,,,
1347,190084,,,,,
2880,3585726,,,,,
600909,75200,,,,,
336,315000,,,,,
600027,234000,,,,,
1071,510000,,,,,
000963,43130,,,,,
600325,93200,,,,,
300180,57300,,,,,
002042,82600,,,,,
000988,24900,,,,,
600985,57100,,,,,
2548,89000,,,,,
002007,50375,,,,,
600011,150400,,,,,
902,1642000,,,,,
2545,105000,,,,,
900942,77426,,,,,
601688,211700,,,,,
6886,638564,,,,,
002926,47000,,,,,
600015,379500,,,,,
600801,26100,,,,,
900933,128100,,,,,
600741,78000,,,,,
HTHT,70008,,,,,
1179,2961,,,,,
HUBG,11626,,,,,
HUBC,384498,,,,,
HUB,19929,,,,,
HUBB,23952,,,,,
000627,79700,,,,,
300054,23400,,,,,
000883,126000,,,,,
300395,8400,,,,,
600141,59300,,,,,
HUBN,6225,,,,,
HUBS,16470,,,,,
069260,7579,,,,,
HDC,11423,,,,,
HBM,79265,,,,,
HPP,55977,,,,,
HUFV A,37568,,,,,
145020,2364,,,,,
BOSS,21065,,,,,
HUH1V,33446,,,,,
002920,12200,,,,,
3003,134400,,,,,
3295,330,,,,,
HUM,49735,,,,,
HUMANSOFT,36030,,,,,
600079,29000,,,,,
200670,1152,,,,,
HUM,96019,,,,,
603989,19200,,,,,
002505,158300,,,,,
002155,68600,,,,,
000932,141000,,,,,
600570,25890,,,,,
2534,181912,,,,,
HTG,50312,,,,,
HBAN,397291,,,,,
HII,14988,,,,,
HUN,75170,,,,,
002128,67100,,,,,
243070,2303,,,,,
084110,17981,,,,,
HURN,8567,,,,,
HUSQ A,13494,,,,,
HUSQ B,146122,,,,,
NS8U,1973600,,,,,
215,570000,,,,,
HUYA,24136,,,,,
600387,12400,,,,,
8368,107800,,,,,
8386,9100,,,,,
H,12288,,,,,
H,117081,,,,,
600,54000,,,,,
6078,96200,,,,,
298050,1234,,,,,
298000,663,,,,,
004800,2867,,,,,
298040,2279,,,,,
298020,1231,,,,,
HYPE3,185512,,,,,
HYQ,1520,,,,,
HYP,99637,,,,,
14,279000,,,,,
002583,90200,,,,,
307950,1619,,,,,
052260,3402,,,,,
048410,12430,,,,,
267270,4299,,,,,
011760,941,,,,,
069960,6181,,,,,
267260,7710,,,,,
017800,17178,,,,,
000720,28152,,,,,
086280,6942,,,,,
005440,15539,,,,,
267250,3657,,,,,
057050,2274,,,,,
079430,1541,,,,,
001450,20905,,,,,
011200,110678,,,,,
010620,7746,,,,,
012330,25004,,,,,
005387,18132,,,,,
005385,12459,,,,,
005380,50878,,,,,
064350,27399,,,,,
004020,26434,,,,,
011210,5852,,,,,
3854,6000,,,,,
099190,4404,,,,,
IAG,39145,,,,,
IAA,50326,,,,,
IAC,28824,,,,,
IMG,177175,,,,,
IBE,2297303,,,,,
2889,1028526,,,,,
4062,40000,,,,,
IBST,141222,,,,,
ICA,29185,,,,,
ICAD,11593,,,,,
040910,4187,,,,,
2402,87000,,,,,
7630,6100,,,,,
2337,63600,,,,,
8975,454,,,,,
7244,17000,,,,,
8624,5200,,,,,
ICICIBANK,607190,,,,,
ICICIGI,75802,,,,,
ICICIPRULI,146354,,,,,
ISEC,23274,,,,,
6820,3100,,,,,
ICLR,20971,,,,,
ICUI,7315,,,,,
IDA,18688,,,,,
6652,10000,,,,,
5019,85914,,,,,
IEX,29793,,,,,
IDXX,32929,,,,,
IDFCFIRSTB,1060288,,,,,
IDFC,387988,,,,,
IDIN,2463,,,,,
7599,13800,,,,,
IDIA,42294,,,,,
IEL,50209,,,,,
3022,96605,,,,,
IFCI,842125,,,,,
002230,54600,,,,,
IGG,147724,,,,,
IGBREIT,764600,,,,,
799,288000,,,,,
IGM,28755,,,,,
IGTA3,31500,,,,,
IHH,1123320,,,,,
7013,48000,,,,,
INFO,154656,,,,,
IIVI,37963,,,,,
3291,54097,,,,,
IIFL,104223,,,,,
9119,26500,,,,,
IJM,1121820,,,,,
600933,39200,,,,,
ILD,5787,,,,,
020150,6986,,,,,
ITW,121210,,,,,
ILMN,56803,,,,,
ILU,210548,,,,,
007570,4628,,,,,
122900,14356,,,,,
1970,27100,,,,,
IMAX,18800,,,,,
IMCD,21959,,,,,
IMD,395218,,,,,
NK,13791,,,,,
IMI,99375,,,,,
IGD,29470,,,,,
IIA,44045,,,,,
IMVT,14259,,,,,
IMPACT-F,253800,,,,,
IMP,303553,,,,,
IMB,377237,,,,,
IPL,64353,,,,,
IMO,83791,,,,,
IMPN,4586,,,,,
1286,260000,,,,,
9934,17200,,,,,
3421,18500,,,,,
8098,16900,,,,,
8182,7747,,,,,
INARI,782375,,,,,
NARI,6272,,,,,
041830,2162,,,,,
INCH,146038,,,,,
IPL,724388,,,,,
INCY,73866,,,,,
INKP,984700,,,,,
IGO,233718,,,,,
INDB,12113,,,,,
IBTX,18544,,,,,
INDIACEM,58816,,,,,
IBULHSGFIN,114214,,,,,
IBREALEST,155530,,,,,
DHANI,128838,,,,,
INDIAMART,3126,,,,,
INDIANB,63128,,,,,
IEX,48722,,,,,
INDHOTEL,234984,,,,,
IOC,975192,,,,,
IRCTC,18888,,,,,
INDV,267105,,,,,
ITMG,142300,,,,,
INTP,467900,,,,,
ICBP,991800,,,,,
INDF,1807400,,,,,
IVL-F,823100,,,,,
ISAT,429300,,,,,
IDR,42840,,,,,
IGL,134515,,,,,
INH,6378,,,,,
ITX,408912,,,,,
601398,3874685,,,,,
1398,29131245,,,,,
3249,541,,,,,
601166,546200,,,,,
024110,104598,,,,,
MVNE,254909,,,,,
601377,163500,,,,,
BACHOCOB,56689,,,,,
PE&OLES*,45078,,,,,
IQCD,797253,,,,,
INDU A,94791,,,,,
INDU C,51904,,,,,
INDT,121654,,,,,
9742,7400,,,,,
900901,98400,,,,,
BONU 18-Mar-2021,169738,,,,,
INFIBEAM,169738,,,,,
IFCN,697,,,,,
IFX,510467,,,,,
NAUKRI,27464,,,,,
4348,7459,,,,,
2492,76700,,,,,
IFM,145778,,,,,
000967,78200,,,,,
INF,593046,,,,,
4812,8400,,,,,
2495,447000,,,,,
INFY,592205,,,,,
INFY,811045,,,,,
IENOVA*,198809,,,,,
INW,119909,,,,,
IFT,187601,,,,,
INGA,1520695,,,,,
INA,108672,,,,,
300223,13200,,,,,
IR,136511,,,,,
NGVT,15268,,,,,
ING,88279,,,,,
INGR,27045,,,,,
COL,121001,,,,,
600010,983100,,,,,
600967,64000,,,,,
601216,176900,,,,,
600863,160200,,,,,
600887,149800,,,,,
900948,479704,,,,,
000683,290400,,,,,
INE,47094,,,,,
9969,225000,,,,,
214320,4216,,,,,
5289,55340,,,,,
3481,3601885,,,,,
IOSP,12887,,,,,
IIPR,8871,,,,,
1801,520941,,,,,
INVA,19900,,,,,
272290,2172,,,,,
INGN,7201,,,,,
INO,76930,,,,,
1605,363200,,,,,
IPHI,17825,,,,,
INPST,76645,,,,,
006490,25963,,,,,
NSIT,12327,,,,,
INSM,37369,,,,,
6200,5600,,,,,
NSP,12800,,,,,
INSP,9998,,,,,
000977,36912,,,,,
596,110000,,,,,
INSTAL,17658,,,,,
IBP,8000,,,,,
PARD3,12400,,,,,
INS,16717,,,,,
PODD,26048,,,,,
060150,6166,,,,,
IAG,1015803,,,,,
IFC,55910,,,,,
4326,15800,,,,,
300677,9750,,,,,
ITGR,11837,,,,,
IART,26431,,,,,
IHP,101662,,,,,
IDX,45882,,,,,
INTEGRATED,64389,,,,,
INTC,1591994,,,,,
INTELLECT,33944,,,,,
NTLA,20638,,,,,
IPAR,6908,,,,,
IPL,165529,,,,,
IRAO,13477172,,,,,
IBKR,30881,,,,,
ICPT,9994,,,,,
ISA,169780,,,,,
ICE,214175,,,,,
IHG,72662,,,,,
IDCC,10500,,,,,
051370,3142,,,,,
INDIGO,36026,,,,,
ICP,105340,,,,,
IBOC,24524,,,,,
IBM,344382,,,,,
London Shares,424805,,,,,
ICT,450370,,,,,
2104,323447,,,,,
IFF,97737,,,,,
IGT,37569,,,,,
3293,19000,,,,,
IP,153407,,,,,
3774,20900,,,,,
ITP,5611,,,,,
035080,23623,,,,,
IPG,155126,,,,,
IP,29808,,,,,
INRN,207,,,,,
ISN,367,,,,,
ITRK,65592,,,,,
INTER,30485,,,,,
Registered,5996751,,,,,
049070,4080,,,,,
INTUCH-F,766351,,,,,
INTUCH-R,59100,,,,,
ITCI,24140,,,,,
048530,11424,,,,,
INTRUM,25786,,,,,
INTU,184897,,,,,
INTU,98418,,,,,
ISRG,44799,,,,,
2356,1450554,,,,,
IAM,349036,,,,,
ILC,9475,,,,,
IVZ,152791,,,,,
3298,3520,,,,,
INL,133022,,,,,
INVP,247349,,,,,
IPF,188893,,,,,
LATO B,53982,,,,,
ORES,10840,,,,,
INVE A,53010,,,,,
INVE B,170429,,,,,
ISBC,81959,,,,,
8963,1390,,,,,
IVSO,12327,,,,,
NVTA,49365,,,,,
INVH,225857,,,,,
IVC,48562,,,,,
MYPK3,37596,,,,,
IOICORP,1282540,,,,,
IOIPG,756300,,,,,
IONS,52996,,,,,
IFL,222834,,,,,
IOVA,51754,,,,,
IPO,376166,,,,,
IPCALAB,25837,,,,,
IPEKE,35502,,,,,
IPGP,13122,,,,,
IPH,54206,,,,,
IPN,12568,,,,,
IPS,14752,,,,,
IQ,99345,,,,,
IQV,73750,,,,,
6035,3100,,,,,
IRBR3,393981,,,,,
IRB,48800,,,,,
603533,14800,,,,,
IRE,227725,,,,,
IRE,70695,,,,,
IRTC,11914,,,,,
IRDM,51637,,,,,
CKL1,14385,,,,,
IR5B,63570,,,,,
6908,7700,,,,,
IRBT,10175,,,,,
2228,17000,,,,,
IRM,113660,,,,,
IAP,225316,,,,,
IRWD,59389,,,,,
Foreign,3602700,,,,,
010780,5641,,,,,
ISGYO,91844,,,,,
ISMEN,29494,,,,,
6310,4400,,,,,
3099,131100,,,,,
4028,12500,,,,,
ISDMR,77436,,,,,
ISCD,62873,,,,,
ICL,249463,,,,,
ILCO,1223,,,,,
DSCT,473882,,,,,
ISS,67283,,,,,
STAR,27160,,,,,
3660,33400,,,,,
7202,190820,,,,,
IG,178132,,,,,
ITD-F,1562400,,,,,
ITM,4572,,,,,
ITAUCORP,61154961,,,,,
ITUB,512611,,,,,
ITUB4,1454883,,,,,
ITUB3,63900,,,,,
ITSA4,1680493,,,,,
ITC,1109966,,,,,
3014,37000,,,,,
6213,122525,,,,,
084850,2429,,,,,
2593,21100,,,,,
3493,223,,,,,
8001,525428,,,,,
8133,15300,,,,,
4739,36600,,,,,
2692,2000,,,,,
2296,46072,,,,,
ITRI,16615,,,,,
ITT,36553,,,,,
ITV,1374840,,,,,
IVN,253725,,,,,
8088,19200,,,,,
IWG,269508,,,,,
8385,113600,,,,,
8273,14800,,,,,
JDW,44236,,,,,
3086,93800,,,,,
SBRY,651121,,,,,
8508,20500,,,,,
JJSF,5591,,,,,
2613,5600,,,,,
JCOM,16001,,,,,
002459,49300,,,,,
JBL,61957,,,,,
2124,4700,,,,,
8584,8600,,,,,
JKHY,30472,,,,,
JACK,8019,,,,,
J,50376,,,,,
JCQ,4253,,,,,
4342,45622,,,,,
8595,10800,,,,,
300529,20770,,,,,
7408,9600,,,,,
JHX,172557,,,,,
JHG,68378,,,,,
9201,60845,,,,,
9706,22600,,,,,
6807,16000,,,,,
2453,10955,,,,,
6418,5100,,,,,
6740,196500,,,,,
6544,25200,,,,,
8987,475,,,,,
8697,218100,,,,,
8985,1269,,,,,
7575,26400,,,,,
8967,247,,,,,
6055,22900,,,,,
3539,4400,,,,,
7600,3957,,,,,
1662,11600,,,,,
7182,154235,,,,,
6178,511915,,,,,
7181,66678,,,,,
8955,250,,,,,
8032,4400,,,,,
8952,370,,,,,
8986,550,,,,,
8953,1961,,,,,
8511,27300,,,,,
5631,23800,,,,,
2914,465182,,,,,
9310,15200,,,,,
3201,18200,,,,,
JHC,64092,,,,,
JPFA,3336200,,,,,
C07,34888,,,,,
J36,81162,,,,,
J37,70095,,,,,
4190,22374,,,,,
JSMR,677017,,,,,
JASIF-F,1323700,,,,,
JAS-F,1256900,,,,,
603816,11300,,,,,
JSW,21805,,,,,
JAZZ,22779,,,,,
JBCHEPHARM,12092,,,,,
175330,51617,,,,,
JBH,41955,,,,,
JBHT,33134,,,,,
JBGS,43782,,,,,
JBSS3,382398,,,,,
DEC,27563,,,,,
600584,43900,,,,,
4552,20000,,,,,
4975,6800,,,,,
6618,72361,,,,,
JD.,170362,,,,,
JD,337430,,,,,
9618,11406,,,,,
1887,12200,,,,,
JDEP,31211,,,,,
JEF,80185,,,,,
271980,3563,,,,,
JELD,26068,,,,,
JEN,18037,,,,,
3653,28000,,,,,
6951,13300,,,,,
JPSA3,12761,,,,,
JMT,93157,,,,,
6197,144750,,,,,
JBLU,27524,,,,,
5411,203600,,,,,
JGS,1148343,,,,,
1963,80400,,,,,
JHSF3,87847,,,,,
603708,18300,,,,,
000301,74300,,,,,
600377,261600,,,,,
177,328000,,,,,
601100,28672,,,,,
600276,142097,,,,,
600305,24900,,,,,
002807,47800,,,,,
300623,16300,,,,,
600557,9600,,,,,
603369,30027,,,,,
002262,32000,,,,,
601952,30100,,,,,
002075,48800,,,,,
002304,38995,,,,,
600486,7600,,,,,
002409,11400,,,,,
002223,29600,,,,,
002839,82700,,,,,
000961,116700,,,,,
600522,74300,,,,,
1916,130500,,,,,
600362,80700,,,,,
358,461000,,,,,
600363,19700,,,,,
000789,45300,,,,,
002157,147700,,,,,
2768,548000,,,,,
5820,630849,,,,,
000623,27200,,,,,
000875,153700,,,,,
2362,1512000,,,,,
JINDALSAW,61019,,,,,
JINDALSTEL,140368,,,,,
601958,86200,,,,,
000656,132700,,,,,
JKS,12666,,,,,
603113,49200,,,,,
3046,5800,,,,,
1951,444000,,,,,
600201,19100,,,,,
000546,50200,,,,,
000799,10500,,,,,
9922,223000,,,,,
000937,179100,,,,,
JKCEMENT,9674,,,,,
JM,24775,,,,,
JMFINANCIL,141196,,,,,
SJM,43406,,,,,
JMT-F,151800,,,,,
3306,63000,,,,,
JBT,11656,,,,,
JLG,226823,,,,,
JW.A,16219,,,,,
WG.,242458,,,,,
JNJ,1023696,,,,,
JCI,280894,,,,,
179,132250,,,,,
1736,49105,,,,,
JMAT,77218,,,,,
600380,48000,,,,,
603127,5400,,,,,
000600,108700,,,,,
600998,56200,,,,,
JFC,147980,,,,,
JLL,20432,,,,,
600872,20400,,,,,
8173,6200,,,,,
3191,23488,,,,,
002242,29337,,,,,
YY,19644,,,,,
2749,28700,,,,,
JPM,1177232,,,,,
348950,44528,,,,,
1691,228500,,,,,
JSE,54776,,,,,
7942,2300,,,,,
4185,67300,,,,,
JSWENERGY,144094,,,,,
JSWSTEEL,370042,,,,,
6473,79500,,,,,
JUBLFOOD,31906,,,,,
JUBLINGREA,19824,,,,,
JUBLPHARMA,23147,,,,,
603517,6600,,,,,
BAER,86205,,,,,
JIN,16258,,,,,
BELA,35920,,,,,
603885,21400,,,,,
JUN3,17741,,,,,
JNPR,132967,,,,,
JUP,173949,,,,,
JMS,422476,,,,,
8356,11400,,,,,
JUSTDIAL,14505,,,,,
JET,35794,,,,,
JUST,378442,,,,,
4686,12500,,,,,
036930,10459,,,,,
JUVE,149272,,,,,
6632,42200,,,,,
096760,94424,,,,,
001060,5382,,,,,
5020,1187507,,,,,
035900,10605,,,,,
JYSK,20298,,,,,
173,490000,,,,,
1663,5800,,,,,
8282,59968,,,,,
SDF,72652,,,,,
9468,13736,,,,,
8154,7500,,,,,
2811,29700,,,,,
2375,46000,,,,,
KNOS,21998,,,,,
1638,866000,,,,,
KALU,5894,,,,,
KAJARIACER,27979,,,,,
1812,171200,,,,,
2371,48568,,,,,
035720,20694,,,,,
293490,8768,,,,,
4521,12100,,,,,
KLBF,8758300,,,,,
KMDA,17290,,,,,
6184,3700,,,,,
KAMN,10059,,,,,
2220,4449,,,,,
8037,7500,,,,,
9364,45800,,,,,
8081,6100,,,,,
9081,2000,,,,,
3939,13400,,,,,
9678,8900,,,,,
1942,36700,,,,,
4118,19900,,,,,
8020,29400,,,,,
8096,5200,,,,,
9997,120500,,,,,
035250,40256,,,,,
9503,281900,,,,,
7321,56538,,,,,
KANSAINER,45268,,,,,
4613,71400,,,,,
9919,6600,,,,,
KSU,35319,,,,,
4047,22400,,,,,
4452,183348,,,,,
KAP,772227,,,,,
7421,9500,,,,,
KAR,45104,,,,,
KRDMA,81746,,,,,
KRDMD,522963,,,,,
KARN,2204,,,,,
KTKBANK,140736,,,,,
KARO,26746,,,,,
KAR,268395,,,,,
KARTN,3436,,,,,
KRTX,5480,,,,,
KARURVYSYA,167704,,,,,
Foreign,709759,,,,,
3001,10200,,,,,
KMD,240079,,,,,
8919,18800,,,,,
9869,8700,,,,,
KSCL,11057,,,,,
3443,1500,,,,,
7012,56900,,,,,
9107,32099,,,,,
KAZ,84617,,,,,
KB,44662,,,,,
105560,104390,,,,,
KBH,31969,,,,,
KBCA,13214,,,,,
KBC,107434,,,,,
KBR,51155,,,,,
029460,2009,,,,,
281820,2755,,,,,
002380,1634,,,,,
344820,1536,,,,,
KCE-F,311700,,,,,
9433,658700,,,,,
BEKE,42825,,,,,
KRNY,27587,,,,,
KEC,41153,,,,,
2538,156000,,,,,
6036,1829,,,,,
9045,36200,,,,,
8818,13600,,,,,
9006,91700,,,,,
9008,44700,,,,,
9009,60000,,,,,
8544,67600,,,,,
8168,14200,,,,,
KLR,25893,,,,,
K,97302,,,,,
KELYA,11516,,,,,
KEMIRA,30367,,,,,
KMPR,23955,,,,,
2106,217000,,,,,
8972,107,,,,,
3278,265,,,,,
3453,120,,,,,
2915,5000,,,,,
KMT,31144,,,,,
KW,46138,,,,,
KEN,6499,,,,,
052690,5282,,,,,
051600,12322,,,,,
BN4,539313,,,,,
AJBU,442612,,,,,
A7RU,1250435,,,,,
CMOU,262700,,,,,
K71U,694188,,,,,
KER,28702,,,,,
KER,15618,,,,,
KRZ,60496,,,,,
636,220000,,,,,
683,210500,,,,,
300737,20100,,,,,
KESKOB,100131,,,,,
KDP,268884,,,,,
2809,39000,,,,,
2594,5400,,,,,
KEY,381171,,,,,
6861,70132,,,,,
KEY,99848,,,,,
KEYS,73254,,,,,
9873,6600,,,,,
KGH,55223,,,,,
4189,12900,,,,,
060720,6489,,,,,
000270,99800,,,,,
KKP-F,197100,,,,,
2801,74050,,,,,
KRC,47111,,,,,
KMB,131299,,,,,
KIMBERA,313800,,,,,
KIM,164528,,,,,
KXS,9678,,,,,
1944,44200,,,,,
KMI,757912,,,,,
2520,147000,,,,,
KNIP11,13422,,,,,
KIN,3966,,,,,
2059,39000,,,,,
2449,394000,,,,,
2809,334000,,,,,
148,320840,,,,,
1888,380858,,,,,
268,1074000,,,,,
600143,62900,,,,,
KGF,842983,,,,,
KC,12251,,,,,
3888,319000,,,,,
KRX,59683,,,,,
1560,36000,,,,,
KINV A,3526,,,,,
KINV B,94678,,,,,
2312,405000,,,,,
K,509553,,,,,
KNSL,7940,,,,,
3189,96000,,,,,
8244,4000,,,,,
9041,72800,,,,,
9375,11600,,,,,
KGX,31336,,,,,
KEX,21599,,,,,
2503,309300,,,,,
KL,111353,,,,,
104700,7103,,,,,
8160,21300,,,,,
4547,9848,,,,,
002240,3035,,,,,
8551,5500,,,,,
1866,2900,,,,,
2930,22900,,,,,
KRG,29209,,,,,
6498,29200,,,,,
KPG,539866,,,,,
039490,3969,,,,,
8370,30807,,,,,
KKR,210318,,,,,
KLAC,61658,,,,,
3656,10800,,,,,
KLBN11,120400,,,,,
LI,69507,,,,,
KCO,29200,,,,,
KLOV PREF,4687,,,,,
KLOV B,229903,,,,,
5306,28000,,,,,
032500,10548,,,,,
KNX,48926,,,,,
KNL,18400,,,,,
KBX,25574,,,,,
KN,31232,,,,,
9726,10900,,,,,
6999,12600,,,,,
4097,7000,,,,,
4967,23500,,,,,
3038,15800,,,,,
5406,111500,,,,,
KCHOL,306458,,,,,
KOD,13543,,,,,
3635,27612,,,,,
SKB,5007,,,,,
KGN,22722,,,,,
098460,4807,,,,,
KSS,61806,,,,,
7516,7500,,,,,
7276,46300,,,,,
KOJAMO,71500,,,,,
7513,17300,,,,,
7984,34400,,,,,
161890,5995,,,,,
024720,3886,,,,,
002020,3096,,,,,
120110,6451,,,,,
6301,357250,,,,,
KOMN,1979,,,,,
3543,10600,,,,,
KOMB,28564,,,,,
8218,10100,,,,,
041960,11261,,,,,
6349,12200,,,,,
3580,10700,,,,,
9766,34300,,,,,
KNEBV,151759,,,,,
KCR,27163,,,,,
KOG,28481,,,,,
4902,169200,,,,,
AD,414263,,,,,
BAMNB,90114,,,,,
DSM,67045,,,,,
KPN,1321140,,,,,
PHIA,352824,,,,,
VPK,23239,,,,,
4956,7000,,,,,
000016,75700,,,,,
9025,10900,,,,,
KTB,19514,,,,,
KONYA,506,,,,,
1797,87500,,,,,
KORDS,12974,,,,,
047810,27174,,,,,
123890,31050,,,,,
015760,96553,,,,,
025540,3118,,,,,
036460,9521,,,,,
071050,13564,,,,,
005880,50218,,,,,
006650,1153,,,,,
034830,69006,,,,,
009540,17483,,,,,
033270,5473,,,,,
010130,3988,,,,,
003490,68726,,,,,
